#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP,New
Komagataeibacter hansenii ATCC 23769,Bacteria;Proteobacteria;Alphaproteobacteria,ATCC 23769,SAMN02471114,PRJNA43711,GCA_000164395.1, Chromosome,3.63666,59.3481,chromosome:NZ_CM000920.1/CM000920.1,ADTV01,1,6271,2010-05-11T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/164/395/GCA_000164395.1_ASM16439v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/164/395/GCF_000164395.1_ASM16439v1,x
Sphingobium japonicum UT26S,Bacteria;Proteobacteria;Alphaproteobacteria,UT26S,SAMD00060927,PRJDA19949,GCA_000091125.1,Complete,4.42486,64.8793,chromosome 1:NC_014006.1/AP010803.1; chromosome 2:NC_014013.1/AP010804.1; plasmid pCHQ1:NC_014007.1/AP010805.1; plasmid pUT1:NC_014005.1/AP010806.1; plasmid pUT2:NC_014009.1/AP010807.1,,5,4097,2010-03-31T23:04:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/091/125/GCA_000091125.1_ASM9112v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/091/125/GCF_000091125.1_ASM9112v1,x
Brevundimonas diminuta,Bacteria;Proteobacteria;Alphaproteobacteria,ATCC_B_19146,SAMN10737780,PRJNA514930,GCA_004102925.1,Complete,3.55182,67.4,chromosome:NZ_CP035093.1/CP035093.1,,1,3391,2019-01-22T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/102/925/GCA_004102925.1_ASM410292v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/102/925/GCF_004102925.1_ASM410292v1,x
Ketogulonicigenium vulgare Y25,Bacteria;Proteobacteria;Alphaproteobacteria,Y25,SAMN02603012,PRJNA51787,GCA_000164885.1,Complete,3.2884,61.7422,chromosome:NC_014625.1/CP002224.1; plasmid pYP1:NC_014621.1/CP002225.1; plasmid pYP12:NC_014626.1/CP002226.1,,3,2934,2010-10-15T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/164/885/GCA_000164885.1_ASM16488v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/164/885/GCF_000164885.1_ASM16488v1,x
Sphingobium chlorophenolicum L-1,Bacteria;Proteobacteria;Alphaproteobacteria,L-1,SAMN00016829,PRJNA50015,GCA_000147835.3,Complete,4.57322,63.8346,chromosome 1:NC_015593.1/CP002798.1; chromosome 2:NC_015594.1/CP002799.1; plasmid pSPHCH01:NC_015595.1/CP002800.1,,3,4067,2011-05-26T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/147/835/GCA_000147835.3_ASM14783v3,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/147/835/GCF_000147835.2_ASM14783v3,x
Sinorhizobium fredii CCBAU 25509,Bacteria;Proteobacteria;Alphaproteobacteria,CCBAU 25509,SAMN03761947,PRJNA285929,GCA_003177055.1,Complete,6.81086,62.193,chromosome:NZ_CP029451.1/CP029451.1; plasmid pSF25509a:NZ_CP029453.1/CP029453.1; plasmid pSF25509b:NZ_CP029452.1/CP029452.1,,3,6010,2018-05-30T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/177/055/GCA_003177055.1_ASM317705v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/177/055/GCF_003177055.1_ASM317705v1,x
Acetobacter aceti,Bacteria;Proteobacteria;Alphaproteobacteria,TMW2.1153,SAMN04396917,PRJNA311264,GCA_002005445.1,Complete,3.72504,56.8,chromosome:NZ_CP014692.1/CP014692.1,,1,3154,2017-02-22T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/005/445/GCA_002005445.1_ASM200544v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/005/445/GCF_002005445.1_ASM200544v1,x
Bartonella clarridgeiae 73,Bacteria;Proteobacteria;Alphaproteobacteria,73,SAMEA2272739,PRJEA42109,GCA_000253015.1,Complete,1.52274,35.7,chromosome:NC_014932.1/FN645454.1,,1,1182,2011-01-17T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/253/015/GCA_000253015.1_ASM25301v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/253/015/GCF_000253015.1_ASM25301v1,x
Polymorphum gilvum SL003B-26A1,Bacteria;Proteobacteria;Alphaproteobacteria,SL003B-26A1,SAMN02603150,PRJNA63293,GCA_000192745.1,Complete,4.71896,67.1174,chromosome:NC_015259.1/CP002568.1; plasmid pSL003B:NC_015258.1/CP002569.1,,2,4355,2011-03-18T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/192/745/GCA_000192745.1_ASM19274v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/192/745/GCF_000192745.1_ASM19274v1,x
Acidiphilium multivorum AIU301,Bacteria;Proteobacteria;Alphaproteobacteria,AIU301,SAMD00060977,PRJDA60101,GCA_000202835.1,Complete,4.21474,66.9853,chromosome:NC_015186.1/AP012035.1; plasmid pACMV1:NC_015178.1/AP012036.1; plasmid pACMV2:NC_015187.1/AP012037.1; plasmid pACMV3:NC_015179.1/AP012038.1; plasmid pACMV4:NC_015188.1/AP012039.1; plasmid pACMV5:NC_015180.1/AP012040.1; plasmid pACMV6:NC_015181.1/AP012041.1; plasmid pACMV7:NC_015189.1/AP012042.1; plasmid pACMV8:NC_015182.1/AP012043.1,,9,3784,2011-03-01T23:03:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/202/835/GCA_000202835.1_ASM20283v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/202/835/GCF_000202835.1_ASM20283v1,x
Rickettsia heilongjiangensis 054,Bacteria;Proteobacteria;Alphaproteobacteria,54,SAMN02602971,PRJNA66907,GCA_000221205.1,Complete,1.27847,32.3,chromosome:NC_015866.1/CP002912.1,,1,1229,2011-07-22T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/221/205/GCA_000221205.1_ASM22120v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/221/205/GCF_000221205.1_ASM22120v1,x
Acetobacter tropicalis,Bacteria;Proteobacteria;Alphaproteobacteria,BDGP1,SAMN07452474,PRJNA397225,GCA_002549835.1,Complete,4.13966,55.6687,chromosome:NZ_CP022699.1/CP022699.1; plasmid pAtBDGP1A:NZ_CP022700.1/CP022700.1,,2,3546,2017-10-13T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/549/835/GCA_002549835.1_ASM254983v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/549/835/GCF_002549835.1_ASM254983v1,x
Nitrospirillum amazonense CBAmc,Bacteria;Proteobacteria;Alphaproteobacteria,CBAmC,SAMN02689882,PRJNA232577,GCA_000730165.2,Complete,7.38239,67.4958,chromosome 1:NZ_CP022110.1/CP022110.1; chromosome 2:NZ_CP022111.1/CP022111.1; chromosome 3:NZ_CP022112.1/CP022112.1; chromosome 4:NZ_CP022113.1/CP022113.1,,4,6105,2017-06-22T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/730/165/GCA_000730165.2_ASM73016v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/730/165/GCF_000730165.1_ASM73016v2,x
Agrobacterium rhizogenes,Bacteria;Proteobacteria;Alphaproteobacteria,K599,SAMN06314224,PRJNA373797,GCA_002005205.3,Complete,5.48224,59.6945,chromosome 1:NZ_CP019701.2/CP019701.2; chromosome 2:NZ_CP019702.2/CP019702.2; plasmid pRi2659:NZ_CP019703.3/CP019703.3,,3,5020,2017-02-21T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/005/205/GCA_002005205.3_ASM200520v3,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/005/205/GCF_002005205.3_ASM200520v3,x
Micavibrio aeruginosavorus ARL-13,Bacteria;Proteobacteria;Alphaproteobacteria,ARL-13,SAMN02604252,PRJNA49751,GCA_000226315.1,Complete,2.48198,54.7,chromosome:NC_016026.1/CP002382.1,,1,2291,2011-09-23T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/226/315/GCA_000226315.1_ASM22631v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/226/315/GCF_000226315.1_ASM22631v1,x
Komagataeibacter europaeus,Bacteria;Proteobacteria;Alphaproteobacteria,SRCM101446,SAMN07125940,PRJNA386757,GCA_002173515.1,Complete,3.79791,61.7094,chromosome:NZ_CP021467.1/CP021467.1; plasmid pKE1446-1:NZ_CP021468.1/CP021468.1; plasmid pKE1446-2:NZ_CP021469.1/CP021469.1; plasmid pKE1446-3:NZ_CP021470.1/CP021470.1,,4,3294,2017-06-06T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/173/515/GCA_002173515.1_ASM217351v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/173/515/GCF_002173515.1_ASM217351v1,x
Komagataeibacter oboediens,Bacteria;Proteobacteria;Alphaproteobacteria,BPZTR01,SAMN12645989,PRJNA562619,GCA_009671185.1,Complete,2.64235,62.9,chromosome:NZ_CP043481.1/CP043481.1,,1,2145,2019-11-19T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/671/185/GCA_009671185.1_ASM967118v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/671/185/GCF_009671185.1_ASM967118v1,x
Wolbachia endosymbiont of Onchocerca volvulus str. Cameroon,Bacteria;Proteobacteria;Alphaproteobacteria,Cameroon,SAMEA3138891,PRJEB4840,GCA_000530755.1,Complete,0.960618,32.1,chromosome I:NZ_HG810405.1/HG810405.1,,1,650,2014-01-23T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/530/755/GCA_000530755.1_W_O_volvulus_Cameroon_v3,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/530/755/GCF_000530755.1_W_O_volvulus_Cameroon_v3,x
Azospirillum brasilense,Bacteria;Proteobacteria;Alphaproteobacteria,Sp 7,SAMN04005082,PRJNA293508,GCA_001315015.1,Complete,6.58753,68.3137,chromosome:NZ_CP012914.1/CP012914.1; plasmid ABSP7_p1:NZ_CP012915.1/CP012915.1; plasmid ABSP7_p2:NZ_CP012916.1/CP012916.1; plasmid ABSP7_p3:NZ_CP012917.1/CP012917.1; plasmid ABSP7_p4:NZ_CP012918.1/CP012918.1; plasmid ABSP7_p5:NZ_CP012919.1/CP012919.1,,6,5772,2015-10-15T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/315/015/GCA_001315015.1_ASM131501v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/315/015/GCF_001315015.1_ASM131501v1,x
Rhizobium tropici CIAT 899,Bacteria;Proteobacteria;Alphaproteobacteria,CIAT 899,SAMN02604105,PRJNA42391,GCA_000330885.1,Complete,6.68633,59.5131,chromosome:NC_020059.1/CP004015.1; plasmid pRtrCIAT899a:NC_020060.1/CP004016.1; plasmid pRtrCIAT899b:NC_020061.1/CP004017.1; plasmid pRtrCIAT899c:NC_020062.1/CP004018.1,,4,6124,2013-01-03T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/330/885/GCA_000330885.1_ASM33088v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/330/885/GCF_000330885.1_ASM33088v1,x
Rickettsia slovaca 13-B,Bacteria;Proteobacteria;Alphaproteobacteria,13-B,SAMN02603145,PRJNA15712,GCA_000237845.1,Complete,1.27509,32.5,chromosome:NC_016639.1/CP002428.1,,1,1315,2011-12-13T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/237/845/GCA_000237845.1_ASM23784v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/237/845/GCF_000237845.1_ASM23784v1,x
Rickettsia japonica YH,Bacteria;Proteobacteria;Alphaproteobacteria,YH,SAMD00060967,PRJDA38487,GCA_000283595.1,Complete,1.28309,32.4,chromosome:NC_016050.1/AP011533.1,,1,1223,2011-09-30T23:04:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/283/595/GCA_000283595.1_ASM28359v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/283/595/GCF_000283595.1_ASM28359v1,x
Methylobacterium oryzae CBMB20,Bacteria;Proteobacteria;Alphaproteobacteria,CBMB20,SAMN03075686,PRJNA41901,GCA_000757795.1,Complete,6.28663,69.8,chromosome:NZ_CP003811.1/CP003811.1,,1,5612,2014-09-25T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/757/795/GCA_000757795.1_ASM75779v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/757/795/GCF_000757795.1_ASM75779v1,x
Mesorhizobium australicum WSM2073,Bacteria;Proteobacteria;Alphaproteobacteria,WSM2073,SAMN02232035,PRJNA47287,GCA_000230995.3,Complete,6.20053,62.8,chromosome:NC_019973.1/CP003358.1,,1,5765,2012-12-28T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/230/995/GCA_000230995.3_ASM23099v3,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/230/995/GCF_000230995.2_ASM23099v3,x
Sphingobium indicum B90A,Bacteria;Proteobacteria;Alphaproteobacteria,B90A,SAMN02471717,PRJNA50313,GCA_000264945.2,Complete,3.94573,65.0243,chromosome:NZ_CP013070.1/CP013070.1; plasmid pSRL1:NZ_CP013071.1/CP013071.1; plasmid pSRL2:NZ_CP013072.1/CP013072.1; plasmid pSRL3:NZ_CP013073.1/CP013073.1,,4,3673,2016-12-12T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/264/945/GCA_000264945.2_ASM26494v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/264/945/GCF_000264945.2_ASM26494v2,x
Azospirillum lipoferum 4B,Bacteria;Proteobacteria;Alphaproteobacteria,4B,SAMEA2272642,PRJEA50367,GCA_000283655.1,Complete,6.8464,67.6703,chromosome:NC_016622.1/FQ311868.1; plasmid AZO_p1:NC_016585.1/FQ311869.1; plasmid AZO_p2:NC_016586.1/FQ311870.1; plasmid AZO_p3:NC_016623.1/FQ311871.1; plasmid AZO_p4:NC_016587.1/FQ311872.1; plasmid AZO_p5:NC_016624.1/FQ311873.1; plasmid AZO_p6:NC_016588.1/FQ311874.1,,7,5884,2011-11-16T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/283/655/GCA_000283655.1_ASM28365v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/283/655/GCF_000283655.1_ASM28365v1,x
Bartonella schoenbuchensis R1,Bacteria;Proteobacteria;Alphaproteobacteria,R1,SAMN06213864,PRJNA360985,GCA_002022685.1, Chromosome,1.72849,37.8129,chromosome:NZ_CP019789.1/CP019789.1; plasmid pVbh_BscR1:NZ_CP019790.1/CP019790.1,,2,1325,2017-03-07T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/022/685/GCA_002022685.1_ASM202268v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/022/685/GCF_002022685.1_ASM202268v1,x
Neorhizobium galegae bv. orientalis str. HAMBI 540,Bacteria;Proteobacteria;Alphaproteobacteria,HAMBI 540,SAMEA3139073,PRJEB1950,GCA_000731315.1,Complete,6.45503,61.248,chromosome I:NZ_HG938353.1/HG938353.1; plasmid II:NZ_HG938354.1/HG938354.1,,2,6040,2014-06-25T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/731/315/GCA_000731315.1_RG540_Ch_pA,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/731/315/GCF_000731315.1_RG540_Ch_pA,x
Pelagibacterium halotolerans B2,Bacteria;Proteobacteria;Alphaproteobacteria,B2,SAMN02604343,PRJNA72927,GCA_000230555.1,Complete,3.94889,61.3946,chromosome:NC_016078.1/CP003075.1; plasmid pPHB2:NC_016079.1/CP003076.1,,2,3756,2011-10-14T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/230/555/GCA_000230555.1_ASM23055v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/230/555/GCF_000230555.1_ASM23055v1,x
Mesorhizobium amorphae CCNWGS0123,Bacteria;Proteobacteria;Alphaproteobacteria,CCNWGS0123,SAMN04853078,PRJNA318467,GCA_001686985.1,Complete,7.34395,62.8379,chromosome:NZ_CP015318.1/CP015318.1; plasmid pM0123a:NZ_CP015319.1/CP015319.1; plasmid pM0123b:NZ_CP015320.1/CP015320.1; plasmid pM0123c:NZ_CP015321.1/CP015321.1; plasmid pM0123d:NZ_CP015322.1/CP015322.1,,5,6592,2016-07-18T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/686/985/GCA_001686985.1_ASM168698v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/686/985/GCF_001686985.1_ASM168698v1,x
Leisingera methylohalidivorans DSM 14336,Bacteria;Proteobacteria;Alphaproteobacteria,DSM 14336,SAMN02769646,PRJNA74371,GCA_000511355.1,Complete,4.651,62.3557,chromosome:NC_023135.1/CP006773.1; plasmid unnamed:NC_023146.1/CP006774.1; plasmid unnamed2:NC_023136.1/CP006775.1,,3,4219,2013-12-20T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/511/355/GCA_000511355.1_ASM51135v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/511/355/GCF_000511355.1_ASM51135v1,x
Rickettsia australis str. Cutlack,Bacteria;Proteobacteria;Alphaproteobacteria,Cutlack,SAMN02603558,PRJNA75037,GCA_000284155.1,Complete,1.32328,32.3282,chromosome:NC_017058.1/CP003338.1; plasmid pMC5_1:NC_017041.1/CP003339.1,,2,1180,2012-03-01T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/284/155/GCA_000284155.1_ASM28415v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/284/155/GCF_000284155.1_ASM28415v1,x
Rickettsia rhipicephali str. 3-7-female6-CWPP,Bacteria;Proteobacteria;Alphaproteobacteria,3-7-female6-CWPP,SAMN02603560,PRJNA75041,GCA_000284075.1,Complete,1.30547,32.3884,chromosome:NC_017042.1/CP003342.1; plasmid pMCC_1:NC_017055.1/CP003343.1,,2,1126,2012-03-01T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/284/075/GCA_000284075.1_ASM28407v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/284/075/GCF_000284075.1_ASM28407v1,x
Bartonella elizabethae,Bacteria;Proteobacteria;Alphaproteobacteria,NCTC12898,SAMEA104307704,PRJEB6403,GCA_900638615.1,Complete,2.01854,38.4,chromosome 1:NZ_LR134527.1/LR134527.1,,1,1633,2018-12-19T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/638/615/GCA_900638615.1_58174_F01,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/638/615/GCF_900638615.1_58174_F01,x
Bartonella vinsonii subsp. berkhoffii str. Winnie,Bacteria;Proteobacteria;Alphaproteobacteria,Winnie,SAMN02604271,PRJNA73951,GCA_000341385.1,Complete,1.8027,38.8,chromosome:NC_020301.1/CP003124.1,,1,1423,2013-02-20T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/341/385/GCA_000341385.1_ASM34138v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/341/385/GCF_000341385.1_ASM34138v1,x
Bartonella birtlesii IBS 325,Bacteria;Proteobacteria;Alphaproteobacteria,IBS 325,SAMN02472046,PRJNA86617,GCA_000273375.1, Chromosome,1.83401,37.9,chromosome:NZ_CM001557.1/CM001557.1,AKIP01,1,1405,2012-06-18T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/273/375/GCA_000273375.1_ASM27337v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/273/375/GCF_000273375.1_ASM27337v1,x
Bartonella australis Aust_NH1,Bacteria;Proteobacteria;Alphaproteobacteria,Aust_NH1,SAMN02604270,PRJNA73943,GCA_000341355.1,Complete,1.59649,41.8,chromosome:NC_020300.1/CP003123.1,,1,1290,2013-02-20T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/341/355/GCA_000341355.1_ASM34135v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/341/355/GCF_000341355.1_ASM34135v1,x
Bartonella bovis 91-4,Bacteria;Proteobacteria;Alphaproteobacteria,04_91,SAMN02472039,PRJNA73945,GCA_000384965.1, Chromosome,1.62467,37.4,chromosome:NZ_CM001844.1/CM001844.1,AGWA01,1,2618,2013-04-10T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/384/965/GCA_000384965.1_BBbMcIrM01,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/384/965/GCF_000384965.1_BBbMcIrM01,x
Tistrella mobilis KA081020-065,Bacteria;Proteobacteria;Alphaproteobacteria,KA081020-065,SAMN02603926,PRJNA76349,GCA_000264455.2,Complete,6.51298,68.058,chromosome:NC_017956.1/CP003236.1; plasmid pTM1:NC_017957.2/CP003237.2; plasmid pTM2:NC_017966.1/CP003238.1; plasmid pTM3:NC_017958.1/CP003239.1; plasmid pTM4:NC_017959.1/CP003240.1,,5,5676,2012-05-25T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/264/455/GCA_000264455.2_ASM26445v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/264/455/GCF_000264455.2_ASM26445v2,x
Wolbachia pipientis wAlbB,Bacteria;Proteobacteria;Alphaproteobacteria,wAlbB,SAMN09012283,PRJNA454708,GCA_004171285.1,Complete,1.48401,34.4,chromosome:NZ_CP031221.1/CP031221.1,,1,1206,2019-02-12T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/171/285/GCA_004171285.1_ASM417128v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/171/285/GCF_004171285.1_ASM417128v1,x
Novosphingobium pentaromativorans US6-1,Bacteria;Proteobacteria;Alphaproteobacteria,US6-1,SAMN03002180,PRJNA257352,GCA_000767465.1,Complete,5.45758,63.0142,chromosome:NZ_CP009291.1/CP009291.1; plasmid pLA1:NZ_CP009294.1/CP009294.1; plasmid pLA2:NZ_CP009296.1/CP009296.1; plasmid pLA3:NZ_CP009292.1/CP009292.1; plasmid pLA4:NZ_CP009293.1/CP009293.1; plasmid pLA5:NZ_CP009295.1/CP009295.1,,6,4905,2014-10-20T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/767/465/GCA_000767465.1_ASM76746v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/767/465/GCF_000767465.1_ASM76746v1,x
Rhizobium phaseoli,Bacteria;Proteobacteria;Alphaproteobacteria,R650,SAMN03998634,PRJNA293118,GCA_001664385.1,Complete,6.72604,61.3616,chromosome:NZ_CP013532.1/CP013532.1; plasmid pRphaR650a:NZ_CP013533.1/CP013533.1; plasmid pRphaR650b:NZ_CP013534.1/CP013534.1; plasmid pRphaR650c:NZ_CP013535.1/CP013535.1; plasmid pRphaR650d:NZ_CP013536.1/CP013536.1,,5,6179,2016-06-17T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/664/385/GCA_001664385.1_ASM166438v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/664/385/GCF_001664385.1_ASM166438v1,x
Wolbachia endosymbiont of Onchocerca ochengi,Bacteria;Proteobacteria;Alphaproteobacteria,wOo,SAMEA2272360,PRJEA81837,GCA_000306885.1,Complete,0.95799,32.1,chromosome:NC_018267.1/HE660029.1,,1,646,2012-07-30T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/306/885/GCA_000306885.1_ASM30688v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/306/885/GCF_000306885.1_ASM30688v1,x
Sphingomonas melonis TY,Bacteria;Proteobacteria;Alphaproteobacteria,TY,SAMN05860869,PRJNA345324,GCA_001761345.1,Complete,4.19675,67.0559,chromosome:NZ_CP017578.1/CP017578.1; plasmid unnamed:NZ_CP017579.1/CP017579.1,,2,3616,2016-10-12T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/761/345/GCA_001761345.1_ASM176134v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/761/345/GCF_001761345.1_ASM176134v1,x
Marinovum algicola DG 898,Bacteria;Proteobacteria;Alphaproteobacteria,DG 898,SAMN03840244,PRJNA63153,GCA_001046955.1,Complete,5.25239,65.2283,chromosome:NZ_CP010855.1/CP010855.1; plasmid pMaD1:NZ_CP010856.1/CP010856.1; plasmid pMaD10:NZ_CP010865.1/CP010865.1; plasmid pMaD11:NZ_CP010866.1/CP010866.1; plasmid pMaD2:NZ_CP010857.1/CP010857.1; plasmid pMaD3:NZ_CP010858.1/CP010858.1; plasmid pMaD4:NZ_CP010859.1/CP010859.1; plasmid pMaD5:NZ_CP010860.1/CP010860.1; plasmid pMaD6:NZ_CP010861.1/CP010861.1; plasmid pMaD7:NZ_CP010862.1/CP010862.1; plasmid pMaD8:NZ_CP010863.1/CP010863.1; plasmid pMaD9:NZ_CP010864.1/CP010864.1,,12,4922,2015-07-06T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/046/955/GCA_001046955.1_ASM104695v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/046/955/GCF_001046955.1_ASM104695v1,x
Rhizobium grahamii,Bacteria;Proteobacteria;Alphaproteobacteria,BG7,SAMN12661675,PRJNA563034,GCA_009498215.1,Complete,5.88932,60.3002,chromosome:NZ_CP043498.1/CP043498.1; plasmid unnamed:NZ_CP043499.1/CP043499.1,,2,5168,2019-11-04T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/498/215/GCA_009498215.1_ASM949821v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/498/215/GCF_009498215.1_ASM949821v1,x
Rickettsia helvetica C9P9,Bacteria;Proteobacteria;Alphaproteobacteria,C9P9,SAMN02471333,PRJNA82855,GCA_000255355.1, Chromosome,1.41711,32.2133,chromosome:NZ_CM001467.1/CM001467.1; plasmid pRhe:NZ_CM001468.1/CM001468.1,AICO01,2,1205,2012-02-21T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/255/355/GCA_000255355.1_ASM25535v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/255/355/GCF_000255355.1_ASM25535v1,x
